subject_id,attribute_id,object_label
PID_000000142570,AID_0001,Ahmad Buchori
PID_000000142570,AID_0001,Ahmad Rajendra
PID_000000142570,AID_0001,Ali Surahman
PID_000000142570,AID_0001,Deniss Romanovs
PID_000000142570,AID_0001,Dimas Galih Pratama
PID_000000142570,AID_0001,Dimas Galih
PID_000000142570,AID_0001,Gunawan Dwi Cahyo
PID_000000142570,AID_0001,Imanuel Padwa
PID_000000142570,AID_0001,Johan Alfarizi
PID_000000142570,AID_0001,M. Rizki Mirzamah
PID_000000142570,AID_0001,Michael Ditubun
PID_000000142570,AID_0001,Pape N'Diaye
PID_000000142570,AID_0001,Permenas Iwanggin
PID_000000142570,AID_0001,Ponaryo Astaman
PID_000000142570,AID_0001,Rasul Zainuddin
PID_000000142570,AID_0001,Raúl Asprilla
PID_000000142570,AID_0001,Riyandi Ramadhana
PID_000000142570,AID_0001,Rizky Pellu
PID_000000142570,AID_0001,Ronald Setmob
PID_000000142570,AID_0001,Shaka Bangura
PID_000000142570,AID_0001,Syaifullah Nazar
PID_000000142570,AID_0001,Wismoyo Widhistio
PID_000000142570,AID_0001,Yayan Andhy
PID_000000142570,AID_0001,Aris Alfiansyah
PID_000000142570,AID_0001,Claudio Luis
PID_000000142570,AID_0001,Dany Saputra
PID_000000142570,AID_0001,Dedi Indra Sampurna
PID_000000142570,AID_0001,Feri Ariawan
PID_000000142570,AID_0001,Hendra Wijaya
PID_000000142570,AID_0001,Jefri Dwi Hadi
PID_000000142570,AID_0001,Kusnul Yuli
PID_000000142570,AID_0001,Markus Haris Maulana
PID_000000142570,AID_0001,Syahroni
PID_000000142570,AID_0001,Aditya Harlan
PID_000000142570,AID_0001,Asri Akbar
PID_000000142570,AID_0001,Basri Lohy
PID_000000142570,AID_0001,Dedi Iman
PID_000000142570,AID_0001,Diogo Santos
PID_000000142570,AID_0001,Gilang Ginarsa
PID_000000142570,AID_0001,Jalwandi
PID_000000142570,AID_0001,Park Chul-Hyung
PID_000000142570,AID_0001,Patrice Nzekou
PID_000000142570,AID_0001,Rafid Lestaluhu
PID_000000142570,AID_0001,Rohit Chand
PID_000000142570,AID_0001,Sandi Firmansyah
PID_000000142570,AID_0001,Yongki Aribowo
PID_000000142570,AID_0001,Abanda Herman
PID_000000142570,AID_0001,Abdul Gamal
PID_000000142570,AID_0001,Agung Supriyanto
PID_000000142570,AID_0001,Arif Suyono
PID_000000142570,AID_0001,Hendra Ridwan
PID_000000142570,AID_0001,Johan Manaji
PID_000000142570,AID_0001,Sandi
PID_000000142570,AID_0001,Wempy Obure
PID_000000142570,AID_0001,Zamrony Dun
PID_000000142570,AID_0001,Abdul Rahman
PID_000000142570,AID_0001,Ahmad Sumardi
PID_000000142570,AID_0001,Djibril Coulibaly
PID_000000142570,AID_0001,Febri Setiadi Hamzah
PID_000000142570,AID_0001,Jajang Sukmara
PID_000000142570,AID_0001,Khoirul Mashuda
PID_000000142570,AID_0001,Kubay Quaiyan
PID_000000142570,AID_0001,Makan Konaté
PID_000000142570,AID_0001,Andri Ibo
