entity_id,entity_title,name,pageUrl
PID_000001168136,List_of_Azerbaijan_football_transfers_summer_2011,List of Azerbaijan football transfers summer 2011,https://dbpedia.org/page/List_of_Azerbaijan_football_transfers_summer_2011
PID_000001168137,List_of_Azerbaijan_football_transfers_summer_2012,List of Azerbaijan football transfers summer 2012,https://dbpedia.org/page/List_of_Azerbaijan_football_transfers_summer_2012
PID_000001168140,List_of_Azerbaijan_football_transfers_summer_2015,List of Azerbaijan football transfers summer 2015,https://dbpedia.org/page/List_of_Azerbaijan_football_transfers_summer_2015
PID_000001168161,List_of_Belgian_football_transfers_summer_2008,List of Belgian football transfers summer 2008,https://dbpedia.org/page/List_of_Belgian_football_transfers_summer_2008
PID_000001168163,List_of_Belgian_football_transfers_summer_2010,List of Belgian football transfers summer 2010,https://dbpedia.org/page/List_of_Belgian_football_transfers_summer_2010
PID_000001168164,List_of_Belgian_football_transfers_summer_2011,List of Belgian football transfers summer 2011,https://dbpedia.org/page/List_of_Belgian_football_transfers_summer_2011
PID_000001168165,List_of_Belgian_football_transfers_summer_2012,List of Belgian football transfers summer 2012,https://dbpedia.org/page/List_of_Belgian_football_transfers_summer_2012
PID_000001168166,List_of_Belgian_football_transfers_summer_2013,List of Belgian football transfers summer 2013,https://dbpedia.org/page/List_of_Belgian_football_transfers_summer_2013
PID_000001168167,List_of_Belgian_football_transfers_summer_2014,List of Belgian football transfers summer 2014,https://dbpedia.org/page/List_of_Belgian_football_transfers_summer_2014
PID_000001168168,List_of_Belgian_football_transfers_summer_2015,List of Belgian football transfers summer 2015,https://dbpedia.org/page/List_of_Belgian_football_transfers_summer_2015
PID_000001168169,List_of_Belgian_football_transfers_summer_2016,List of Belgian football transfers summer 2016,https://dbpedia.org/page/List_of_Belgian_football_transfers_summer_2016
PID_000001168170,List_of_Belgian_football_transfers_summer_2017,List of Belgian football transfers summer 2017,https://dbpedia.org/page/List_of_Belgian_football_transfers_summer_2017
PID_000001168171,List_of_Belgian_football_transfers_summer_2018,List of Belgian football transfers summer 2018,https://dbpedia.org/page/List_of_Belgian_football_transfers_summer_2018
PID_000001168172,List_of_Belgian_football_transfers_summer_2019,List of Belgian football transfers summer 2019,https://dbpedia.org/page/List_of_Belgian_football_transfers_summer_2019
PID_000001168186,List_of_Bosnia_and_Herzegovina_football_transfers_summer_2012,List of Bosnia and Herzegovina football transfers summer 2012,https://dbpedia.org/page/List_of_Bosnia_and_Herzegovina_football_transfers_summer_2012
PID_000001168187,List_of_Bosnia_and_Herzegovina_football_transfers_summer_2013,List of Bosnia and Herzegovina football transfers summer 2013,https://dbpedia.org/page/List_of_Bosnia_and_Herzegovina_football_transfers_summer_2013
PID_000001168188,List_of_Bosnia_and_Herzegovina_football_transfers_winter_2012–13,List of Bosnia and Herzegovina football transfers winter 2012–13,https://dbpedia.org/page/List_of_Bosnia_and_Herzegovina_football_transfers_winter_2012–13
PID_000001168431,List_of_Brazilian_football_transfers_winter_2018–19,List of Brazilian football transfers winter 2018–19,https://dbpedia.org/page/List_of_Brazilian_football_transfers_winter_2018–19
PID_000001168433,List_of_Bulgarian_football_transfers_summer_2010,List of Bulgarian football transfers summer 2010,https://dbpedia.org/page/List_of_Bulgarian_football_transfers_summer_2010
PID_000001168434,List_of_Bulgarian_football_transfers_summer_2011,List of Bulgarian football transfers summer 2011,https://dbpedia.org/page/List_of_Bulgarian_football_transfers_summer_2011
PID_000001168435,List_of_Bulgarian_football_transfers_summer_2012,List of Bulgarian football transfers summer 2012,https://dbpedia.org/page/List_of_Bulgarian_football_transfers_summer_2012
PID_000001168436,List_of_Bulgarian_football_transfers_summer_2013,List of Bulgarian football transfers summer 2013,https://dbpedia.org/page/List_of_Bulgarian_football_transfers_summer_2013
PID_000001168437,List_of_Bulgarian_football_transfers_summer_2014,List of Bulgarian football transfers summer 2014,https://dbpedia.org/page/List_of_Bulgarian_football_transfers_summer_2014
PID_000001168438,List_of_Bulgarian_football_transfers_summer_2015,List of Bulgarian football transfers summer 2015,https://dbpedia.org/page/List_of_Bulgarian_football_transfers_summer_2015
PID_000001168439,List_of_Bulgarian_football_transfers_summer_2016,List of Bulgarian football transfers summer 2016,https://dbpedia.org/page/List_of_Bulgarian_football_transfers_summer_2016
