subject_id,relation_id,object_id
PID_000001053164,RID_0035,PID_000000905961
PID_000001051734,RID_0035,PID_000000905961
PID_000001043886,RID_0035,PID_000000905961
PID_000001042101,RID_0035,PID_000000905961
PID_000001037482,RID_0035,PID_000000905961
PID_000001024865,RID_0033,PID_000000905961
PID_000001019456,RID_0035,PID_000000905961
PID_000001017951,RID_0033,PID_000000905961
PID_000001014502,RID_0035,PID_000000905961
PID_000001002622,RID_0033,PID_000000905961
PID_000001001532,RID_0035,PID_000000905961
PID_000001001451,RID_0035,PID_000000905961
PID_000000982072,RID_0035,PID_000000905961
PID_000000968355,RID_0035,PID_000000905961
PID_000000965445,RID_0035,PID_000000905961
PID_000000965680,RID_0035,PID_000000905961
PID_000000965795,RID_0035,PID_000000905961
PID_000000965170,RID_0033,PID_000000905961
PID_000000942325,RID_0035,PID_000000905961
PID_000000937668,RID_0035,PID_000000905961
PID_000000937555,RID_0035,PID_000000905961
PID_000000465228,RID_0035,PID_000000905961
PID_000000463826,RID_0035,PID_000000905961
PID_000000448501,RID_0035,PID_000000905961
PID_000000425676,RID_0035,PID_000000905961
PID_000000421950,RID_0035,PID_000000905961
PID_000000423048,RID_0035,PID_000000905961
PID_000000422275,RID_0035,PID_000000905961
PID_000000408802,RID_0033,PID_000000905961
PID_000000394626,RID_0035,PID_000000905961
PID_000000394761,RID_0035,PID_000000905961
PID_000000383279,RID_0035,PID_000000905961
PID_000000934185,RID_0035,PID_000000905961
PID_000001537808,RID_0035,PID_000000905961
PID_000001528464,RID_0035,PID_000000905961
PID_000001519819,RID_0035,PID_000000905961
PID_000001515584,RID_0035,PID_000000905961
PID_000001508542,RID_0035,PID_000000905961
PID_000001509085,RID_0035,PID_000000905961
PID_000001508156,RID_0035,PID_000000905961
PID_000001495074,RID_0035,PID_000000905961
PID_000001490060,RID_0033,PID_000000905961
PID_000001480351,RID_0035,PID_000000905961
PID_000001470301,RID_0035,PID_000000905961
PID_000001468320,RID_0035,PID_000000905961
PID_000001465554,RID_0035,PID_000000905961
PID_000001461477,RID_0035,PID_000000905961
PID_000001452595,RID_0035,PID_000000905961
PID_000001444393,RID_0033,PID_000000905961
PID_000001440209,RID_0035,PID_000000905961
PID_000001433910,RID_0035,PID_000000905961
PID_000001430277,RID_0035,PID_000000905961
PID_000000923690,RID_0035,PID_000000905961
PID_000000913917,RID_0033,PID_000000905961
PID_000000877632,RID_0035,PID_000000905961
PID_000000877670,RID_0035,PID_000000905961
PID_000000875724,RID_0035,PID_000000905961
PID_000000868046,RID_0035,PID_000000905961
PID_000000867494,RID_0035,PID_000000905961
PID_000000866070,RID_0035,PID_000000905961
PID_000000862947,RID_0035,PID_000000905961
PID_000000854561,RID_0035,PID_000000905961
PID_000000848345,RID_0035,PID_000000905961
PID_000000846485,RID_0035,PID_000000905961
PID_000000847011,RID_0035,PID_000000905961
PID_000000846533,RID_0035,PID_000000905961
PID_000000836734,RID_0035,PID_000000905961
PID_000000833575,RID_0035,PID_000000905961
PID_000001763944,RID_0035,PID_000000905961
PID_000001759911,RID_0035,PID_000000905961
PID_000001761057,RID_0035,PID_000000905961
PID_000001757511,RID_0035,PID_000000905961
PID_000001747971,RID_0035,PID_000000905961
PID_000001725429,RID_0035,PID_000000905961
PID_000001718674,RID_0035,PID_000000905961
PID_000001707764,RID_0035,PID_000000905961
PID_000001694191,RID_0035,PID_000000905961
PID_000001692437,RID_0035,PID_000000905961
PID_000001690978,RID_0035,PID_000000905961
PID_000001688627,RID_0035,PID_000000905961
PID_000001684505,RID_0035,PID_000000905961
PID_000001680694,RID_0035,PID_000000905961
PID_000001675707,RID_0035,PID_000000905961
PID_000001663653,RID_0035,PID_000000905961
PID_000001663598,RID_0035,PID_000000905961
PID_000001663392,RID_0035,PID_000000905961
PID_000001655013,RID_0035,PID_000000905961
PID_000001152496,RID_0035,PID_000000905961
PID_000001153036,RID_0035,PID_000000905961
PID_000001151136,RID_0035,PID_000000905961
PID_000001143910,RID_0035,PID_000000905961
PID_000001130681,RID_0035,PID_000000905961
PID_000001126379,RID_0035,PID_000000905961
PID_000001126840,RID_0035,PID_000000905961
PID_000001119184,RID_0035,PID_000000905961
PID_000001116030,RID_0035,PID_000000905961
PID_000001101331,RID_0035,PID_000000905961
PID_000001100267,RID_0035,PID_000000905961
PID_000001084331,RID_0035,PID_000000905961
PID_000001083913,RID_0035,PID_000000905961
PID_000001084074,RID_0035,PID_000000905961
PID_000001084014,RID_0035,PID_000000905961
PID_000001083218,RID_0035,PID_000000905961
PID_000001083464,RID_0035,PID_000000905961
PID_000001070816,RID_0035,PID_000000905961
PID_000001069563,RID_0035,PID_000000905961
PID_000001063853,RID_0035,PID_000000905961
PID_000001060068,RID_0035,PID_000000905961
PID_000001056455,RID_0035,PID_000000905961
PID_000000702004,RID_0035,PID_000000905961
PID_000000689271,RID_0035,PID_000000905961
PID_000000689627,RID_0035,PID_000000905961
PID_000000688007,RID_0035,PID_000000905961
PID_000000673779,RID_0035,PID_000000905961
PID_000000673590,RID_0035,PID_000000905961
PID_000000666119,RID_0035,PID_000000905961
PID_000000666499,RID_0035,PID_000000905961
PID_000000656747,RID_0035,PID_000000905961
PID_000000655417,RID_0035,PID_000000905961
PID_000000651102,RID_0035,PID_000000905961
PID_000000629265,RID_0035,PID_000000905961
PID_000000625303,RID_0035,PID_000000905961
PID_000000626148,RID_0035,PID_000000905961
PID_000000618480,RID_0035,PID_000000905961
PID_000000613505,RID_0035,PID_000000905961
PID_000000610841,RID_0035,PID_000000905961
PID_000001638810,RID_0035,PID_000000905961
PID_000001633379,RID_0035,PID_000000905961
PID_000001620063,RID_0035,PID_000000905961
PID_000001618150,RID_0035,PID_000000905961
PID_000001614358,RID_0035,PID_000000905961
PID_000001614608,RID_0035,PID_000000905961
PID_000001595500,RID_0035,PID_000000905961
PID_000001593478,RID_0035,PID_000000905961
PID_000001589576,RID_0035,PID_000000905961
PID_000001587125,RID_0035,PID_000000905961
PID_000001586589,RID_0035,PID_000000905961
PID_000001571029,RID_0035,PID_000000905961
PID_000001568854,RID_0035,PID_000000905961
PID_000001563788,RID_0035,PID_000000905961
