source,attribute_id,attribute_label,triple_count
DB,AID_0001,name,124402
DB,AID_0005,countryOrRegionOfCitizenship,48
DB,AID_0006,languagesSpokenWrittenOrSigned,2
DB,AID_0009,dateOfBirth,1084
DB,AID_0010,placeOfBirth,2516
DB,AID_0011,dateOfDeath,922
DB,AID_0012,placeOfDeath,1887
DB,AID_0013,placeOfBurial,4
DB,AID_0014,residence,3
DB,AID_0018,occupation,24
DB,AID_0019,educatedAt,135
DB,AID_0026,memberOfPoliticalParty,1
DB,AID_0029,participatedInConflict,2
DB,AID_0030,awardReceived,75
DB,AID_0036,genre,2
DB,AID_0039,officialWebsite,8
WD,AID_0001,name,418
WD,AID_0002,givenName,52443
WD,AID_0003,familyName,32575
WD,AID_0004,sexOrGender,48786
WD,AID_0005,countryOrRegionOfCitizenship,30783
WD,AID_0006,languagesSpokenWrittenOrSigned,21471
WD,AID_0007,religionOrWorldview,4505
WD,AID_0008,ancestralHome,626
WD,AID_0009,dateOfBirth,37354
WD,AID_0010,placeOfBirth,25830
WD,AID_0011,dateOfDeath,28672
WD,AID_0012,placeOfDeath,18578
WD,AID_0014,residence,4603
WD,AID_0015,workLocation,10248
WD,AID_0016,placeOfDetention,642
WD,AID_0017,significantEvent,1241
WD,AID_0018,occupation,70241
WD,AID_0019,educatedAt,49601
WD,AID_0020,academicDegree,3588
WD,AID_0021,fieldOfWork,14567
WD,AID_0022,positionHeld,9187
WD,AID_0023,militaryOrPoliceRank,1248
WD,AID_0025,memberOf,15633
WD,AID_0026,memberOfPoliticalParty,1694
WD,AID_0027,participantIn,25080
WD,AID_0028,candidacyInElection,631
WD,AID_0029,participatedInConflict,2194
WD,AID_0030,awardReceived,38371
WD,AID_0031,sport,800
WD,AID_0032,memberOfSportsTeam,427
WD,AID_0033,positionPlayedOnTeamOrSpeciality,83
WD,AID_0034,countryForSport,615
WD,AID_0035,leagueOrCompetition,44
WD,AID_0036,genre,5561
WD,AID_0037,instrument,1495
WD,AID_0038,hasWorksInTheCollection,62968
WD,AID_0039,officialWebsite,2276
WD,AID_0040,height,533
WD,AID_0041,mass,233
WP,AID_0001,name,30963
WP,AID_0002,givenName,1
WP,AID_0005,countryOrRegionOfCitizenship,8773
WP,AID_0006,languagesSpokenWrittenOrSigned,21
WP,AID_0007,religionOrWorldview,251
WP,AID_0009,dateOfBirth,30226
WP,AID_0010,placeOfBirth,27456
WP,AID_0011,dateOfDeath,13454
WP,AID_0012,placeOfDeath,11091
WP,AID_0014,residence,2178
WP,AID_0015,workLocation,411
WP,AID_0017,significantEvent,11
WP,AID_0018,occupation,13635
WP,AID_0019,educatedAt,25368
WP,AID_0021,fieldOfWork,143
WP,AID_0023,militaryOrPoliceRank,10001
WP,AID_0024,rank,3357
WP,AID_0025,memberOf,20
WP,AID_0026,memberOfPoliticalParty,19630
WP,AID_0029,participatedInConflict,2496
WP,AID_0030,awardReceived,1729
WP,AID_0031,sport,16
WP,AID_0032,memberOfSportsTeam,51
WP,AID_0033,positionPlayedOnTeamOrSpeciality,26
WP,AID_0036,genre,54
WP,AID_0037,instrument,11
WP,AID_0039,officialWebsite,1901
WP,AID_0040,height,46
WP,AID_0041,mass,8
YAGO,AID_0001,name,40435
YAGO,AID_0004,sexOrGender,2381
YAGO,AID_0005,countryOrRegionOfCitizenship,1515
YAGO,AID_0006,languagesSpokenWrittenOrSigned,2414
YAGO,AID_0007,religionOrWorldview,370
YAGO,AID_0009,dateOfBirth,2161
YAGO,AID_0010,placeOfBirth,1557
YAGO,AID_0011,dateOfDeath,1093
YAGO,AID_0012,placeOfDeath,902
YAGO,AID_0014,residence,620
YAGO,AID_0015,workLocation,993
YAGO,AID_0017,significantEvent,1013
YAGO,AID_0019,educatedAt,1813
YAGO,AID_0020,academicDegree,257
YAGO,AID_0025,memberOf,1377
YAGO,AID_0028,candidacyInElection,82
YAGO,AID_0030,awardReceived,2569
YAGO,AID_0035,leagueOrCompetition,11
YAGO,AID_0039,officialWebsite,360
ZHDB,AID_0001,name,860
ZHDB,AID_0004,sexOrGender,128
ZHDB,AID_0005,countryOrRegionOfCitizenship,119
ZHDB,AID_0007,religionOrWorldview,250
ZHDB,AID_0008,ancestralHome,58
ZHDB,AID_0009,dateOfBirth,479
ZHDB,AID_0010,placeOfBirth,516
ZHDB,AID_0011,dateOfDeath,123
ZHDB,AID_0012,placeOfDeath,150
ZHDB,AID_0013,placeOfBurial,9
ZHDB,AID_0014,residence,27
ZHDB,AID_0018,occupation,84
ZHDB,AID_0019,educatedAt,338
ZHDB,AID_0024,rank,2
ZHDB,AID_0026,memberOfPoliticalParty,258
ZHDB,AID_0029,participatedInConflict,7
ZHDB,AID_0030,awardReceived,3
ZHDB,AID_0039,officialWebsite,3
ZHDB,AID_0040,height,3
ZHWP,AID_0001,name,2381
ZHWP,AID_0004,sexOrGender,497
ZHWP,AID_0005,countryOrRegionOfCitizenship,318
ZHWP,AID_0006,languagesSpokenWrittenOrSigned,20
ZHWP,AID_0007,religionOrWorldview,509
ZHWP,AID_0008,ancestralHome,163
ZHWP,AID_0009,dateOfBirth,2359
ZHWP,AID_0010,placeOfBirth,2052
ZHWP,AID_0011,dateOfDeath,854
ZHWP,AID_0012,placeOfDeath,668
ZHWP,AID_0013,placeOfBurial,34
ZHWP,AID_0014,residence,149
ZHWP,AID_0015,workLocation,22
ZHWP,AID_0017,significantEvent,1
ZHWP,AID_0018,occupation,861
ZHWP,AID_0019,educatedAt,1433
ZHWP,AID_0020,academicDegree,23
ZHWP,AID_0021,fieldOfWork,32
ZHWP,AID_0022,positionHeld,42
ZHWP,AID_0023,militaryOrPoliceRank,556
ZHWP,AID_0024,rank,243
ZHWP,AID_0026,memberOfPoliticalParty,1331
ZHWP,AID_0029,participatedInConflict,128
ZHWP,AID_0030,awardReceived,191
ZHWP,AID_0031,sport,2
ZHWP,AID_0036,genre,4
ZHWP,AID_0037,instrument,1
ZHWP,AID_0039,officialWebsite,381
ZHWP,AID_0040,height,2
ZHWP,AID_0041,mass,1
