source,relation_id,relation_label,triple_count
DB,RID_0001,parent,2
DB,RID_0004,spouse,11
DB,RID_0009,child,18
DB,RID_0011,relative,47
DB,RID_0033,influences,1462
DB,RID_0035,influencedBy,3268
DB,RID_0039,connectsWith,9
DB,RID_0042,replaces,2
DB,RID_0043,replacedBy,1
DB,RID_0054,beatifiedBy,380
DB,RID_0055,canonizedBy,134
WD,RID_0001,parent,4
WD,RID_0002,father,8571
WD,RID_0003,mother,5795
WD,RID_0004,spouse,6209
WD,RID_0007,sibling,77862
WD,RID_0009,child,14533
WD,RID_0011,relative,7532
WD,RID_0012,unmarriedPartner,1059
WD,RID_0013,stepparent,164
WD,RID_0014,godparent,677
WD,RID_0015,family,1
WD,RID_0017,supervisedBy,2
WD,RID_0018,trainedBy,170
WD,RID_0019,studentOf,18206
WD,RID_0020,doctoralAdvisor,31991
WD,RID_0021,student,11604
WD,RID_0022,doctoralStudent,31539
WD,RID_0024,employer,363
WD,RID_0025,clerkedFor,81
WD,RID_0026,directorOrManager,2
WD,RID_0027,headCoach,30
WD,RID_0028,commandedBy,1
WD,RID_0029,represents,4
WD,RID_0031,copyrightRepresentative,10
WD,RID_0034,significantPerson,7670
WD,RID_0037,followerOf,8
WD,RID_0038,circleOf,1
WD,RID_0039,connectsWith,1
WD,RID_0040,follows,6
WD,RID_0041,followedBy,7
WD,RID_0042,replaces,18
WD,RID_0043,replacedBy,19
WD,RID_0056,killedBy,30
WD,RID_0057,defender,2
WD,RID_0058,patientOf,12
WD,RID_0059,enemy,4
WD,RID_0061,partnerInBusinessOrSport,657
WP,RID_0002,father,598
WP,RID_0003,mother,263
WP,RID_0004,spouse,1122
WP,RID_0009,child,1316
WP,RID_0011,relative,1525
WP,RID_0015,family,54
WP,RID_0019,studentOf,8
WP,RID_0020,doctoralAdvisor,41
WP,RID_0022,doctoralStudent,42
WP,RID_0023,notableStudent,35
WP,RID_0024,employer,7
WP,RID_0026,directorOrManager,16
WP,RID_0027,headCoach,1
WP,RID_0032,appointer,3851
WP,RID_0033,influences,287
WP,RID_0042,replaces,33519
WP,RID_0043,replacedBy,33935
WP,RID_0044,monarch,7725
WP,RID_0045,governor,1792
WP,RID_0046,primeMinister,21560
WP,RID_0047,president,24009
WP,RID_0048,vicePresident,438
WP,RID_0049,chancellor,424
WP,RID_0050,lieutenant,68
WP,RID_0051,governorGeneral,1174
WP,RID_0052,deputy,2446
WP,RID_0053,consecratedBy,224
WP,RID_0054,beatifiedBy,752
WP,RID_0055,canonizedBy,353
WP,RID_0060,opponent,18
WP,RID_0061,partnerInBusinessOrSport,43
YAGO,RID_0004,spouse,404
YAGO,RID_0009,child,496
YAGO,RID_0019,studentOf,24
YAGO,RID_0020,doctoralAdvisor,33
YAGO,RID_0035,influencedBy,864
ZHDB,RID_0001,parent,18
ZHDB,RID_0002,father,3
ZHDB,RID_0003,mother,9
ZHDB,RID_0004,spouse,13
ZHDB,RID_0009,child,21
ZHDB,RID_0011,relative,12
ZHDB,RID_0042,replaces,363
ZHDB,RID_0043,replacedBy,334
ZHDB,RID_0044,monarch,110
ZHDB,RID_0046,primeMinister,321
ZHDB,RID_0047,president,142
ZHDB,RID_0048,vicePresident,8
ZHDB,RID_0051,governorGeneral,4
ZHDB,RID_0052,deputy,62
ZHWP,RID_0001,parent,20
ZHWP,RID_0002,father,66
ZHWP,RID_0003,mother,27
ZHWP,RID_0004,spouse,101
ZHWP,RID_0006,wife,1
ZHWP,RID_0007,sibling,22
ZHWP,RID_0009,child,159
ZHWP,RID_0011,relative,294
ZHWP,RID_0015,family,3
ZHWP,RID_0020,doctoralAdvisor,1
ZHWP,RID_0023,notableStudent,2
ZHWP,RID_0032,appointer,40
ZHWP,RID_0033,influences,136
ZHWP,RID_0042,replaces,2319
ZHWP,RID_0043,replacedBy,2379
ZHWP,RID_0044,monarch,1282
ZHWP,RID_0045,governor,12
ZHWP,RID_0046,primeMinister,1887
ZHWP,RID_0047,president,1075
ZHWP,RID_0048,vicePresident,24
ZHWP,RID_0049,chancellor,1
ZHWP,RID_0050,lieutenant,1
ZHWP,RID_0051,governorGeneral,47
ZHWP,RID_0052,deputy,278
ZHWP,RID_0061,partnerInBusinessOrSport,1
